 variables=x,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15
 zone t="           1 "i=         263 f=point
  0.2447917E+00  0.1805750E+00  0.1804695E+00  0.1805330E+00  0.1805990E+00  0.1806433E+00  0.1806532E+00  0.1806698E+00  0.1805819E+00  0.1803304E+00  0.1800270E+00  0.1797876E+00  0.1796704E+00  0.1803273E+00  0.1797684E+00  0.1660584E+00
  0.2500000E+00  0.1944831E+00  0.1943317E+00  0.1944017E+00  0.1944694E+00  0.1945216E+00  0.1945424E+00  0.1945654E+00  0.1945160E+00  0.1943189E+00  0.1940624E+00  0.1938698E+00  0.1938130E+00  0.1945356E+00  0.1940731E+00  0.1816123E+00
  0.2552083E+00  0.2065874E+00  0.2064060E+00  0.2064748E+00  0.2065415E+00  0.2066041E+00  0.2066456E+00  0.2066953E+00  0.2067064E+00  0.2066026E+00  0.2064300E+00  0.2062892E+00  0.2062548E+00  0.2068688E+00  0.2064931E+00  0.1996356E+00
  0.2604167E+00  0.2189979E+00  0.2188184E+00  0.2188742E+00  0.2189234E+00  0.2189641E+00  0.2189818E+00  0.2189969E+00  0.2189694E+00  0.2188335E+00  0.2186263E+00  0.2184312E+00  0.2183114E+00  0.2187666E+00  0.2182865E+00  0.2125254E+00
  0.2656250E+00  0.2294321E+00  0.2292758E+00  0.2293273E+00  0.2293642E+00  0.2293916E+00  0.2293934E+00  0.2293847E+00  0.2293343E+00  0.2291741E+00  0.2289371E+00  0.2287178E+00  0.2285763E+00  0.2289810E+00  0.2285035E+00  0.2234698E+00
  0.2708333E+00  0.2391125E+00  0.2389652E+00  0.2390206E+00  0.2390550E+00  0.2390787E+00  0.2390759E+00  0.2390570E+00  0.2389974E+00  0.2388286E+00  0.2385695E+00  0.2383269E+00  0.2381727E+00  0.2385758E+00  0.2380979E+00  0.2332669E+00
  0.2760417E+00  0.2481054E+00  0.2479517E+00  0.2480130E+00  0.2480499E+00  0.2480742E+00  0.2480724E+00  0.2480516E+00  0.2479903E+00  0.2478236E+00  0.2475568E+00  0.2473017E+00  0.2471498E+00  0.2475887E+00  0.2471306E+00  0.2423776E+00
  0.2812500E+00  0.2571743E+00  0.2569723E+00  0.2570401E+00  0.2570857E+00  0.2571180E+00  0.2571265E+00  0.2571158E+00  0.2570633E+00  0.2569105E+00  0.2566449E+00  0.2563648E+00  0.2561746E+00  0.2565963E+00  0.2560916E+00  0.2512030E+00
  0.2864583E+00  0.2658327E+00  0.2655754E+00  0.2656483E+00  0.2657028E+00  0.2657451E+00  0.2657674E+00  0.2657730E+00  0.2657386E+00  0.2656142E+00  0.2653736E+00  0.2650967E+00  0.2648981E+00  0.2653226E+00  0.2648149E+00  0.2599138E+00
  0.2916667E+00  0.2737145E+00  0.2734062E+00  0.2734819E+00  0.2735437E+00  0.2735944E+00  0.2736288E+00  0.2736490E+00  0.2736309E+00  0.2735334E+00  0.2733188E+00  0.2730463E+00  0.2728354E+00  0.2732480E+00  0.2727317E+00  0.2678664E+00
  0.2968750E+00  0.2810108E+00  0.2806739E+00  0.2807493E+00  0.2808137E+00  0.2808679E+00  0.2809085E+00  0.2809363E+00  0.2809282E+00  0.2808507E+00  0.2806594E+00  0.2803985E+00  0.2801901E+00  0.2806022E+00  0.2801047E+00  0.2753444E+00
  0.3020833E+00  0.2877119E+00  0.2873504E+00  0.2874255E+00  0.2874930E+00  0.2875521E+00  0.2876007E+00  0.2876398E+00  0.2876475E+00  0.2875983E+00  0.2874462E+00  0.2872238E+00  0.2870527E+00  0.2875052E+00  0.2870860E+00  0.2824967E+00
  0.3072917E+00  0.2940547E+00  0.2936771E+00  0.2937517E+00  0.2938217E+00  0.2938854E+00  0.2939415E+00  0.2939915E+00  0.2940154E+00  0.2939941E+00  0.2938835E+00  0.2937092E+00  0.2935942E+00  0.2941143E+00  0.2938056E+00  0.2894213E+00
  0.3125000E+00  0.2999628E+00  0.2995737E+00  0.2996482E+00  0.2997209E+00  0.2997894E+00  0.2998532E+00  0.2999150E+00  0.2999566E+00  0.2999650E+00  0.2999004E+00  0.2997849E+00  0.2997418E+00  0.3003512E+00  0.3001788E+00  0.2960139E+00
  0.3177083E+00  0.3054545E+00  0.3050652E+00  0.3051398E+00  0.3052148E+00  0.3052873E+00  0.3053576E+00  0.3054295E+00  0.3054870E+00  0.3055213E+00  0.3054984E+00  0.3054404E+00  0.3054725E+00  0.3061829E+00  0.3061617E+00  0.3022382E+00
